,0
0,9.999999999999997e-06
1,1.5072550591728962e-05
2,0.00023915630961832208
3,5.403212039442928e-05
4,1.733892970725034e-05
5,9.999999999999997e-06
6,1.1570829876873857e-05
7,0.0001366185680483875
8,9.999999999999997e-06
9,5.249262950434069e-05
10,9.999999999999997e-06
11,0.0002559114232635863
12,9.999999999999997e-06
13,9.999999999999997e-06
14,9.999999999999997e-06
15,0.00026461410559304373
16,9.999999999999997e-06
17,0.00034907069869665163
18,2.3358314788697542e-05
19,1.1232348244705312e-05
20,9.999999999999997e-06
21,0.0002757736721862148
22,9.999999999999997e-06
23,0.0002021477645832339
24,1.71227279975823e-05
25,9.753526751770498e-05
26,9.999999999999997e-06
27,2.8704922873913413e-05
28,4.5568931584751047e-05
29,1.5217822724673438e-05
30,6.248559726725667e-05
31,9.999999999999997e-06
32,9.999999999999997e-06
33,6.156188969089054e-05
34,0.0004131762639931652
35,0.00010843364903913516
36,0.00043286889391589036
37,7.220541448977471e-05
38,1.1506979938924517e-05
39,0.00039593203707916926
40,1.937415683495114e-05
41,1.218431156081249e-05
42,1.4687551330940417e-05
43,0.0004200673463741194
44,0.00018581570041109778
45,1.3657368915531812e-05
46,1.3211605269622403e-05
47,3.104521347815419e-05
48,0.0005050605558375765
49,9.999999999999997e-06
50,1.0401380709210778e-05
51,1.4129802910750494e-05
52,0.00022677988776748513
53,0.0002425518419386586
54,9.999999999999997e-06
55,0.0001479314242185688
56,9.999999999999997e-06
57,2.9373039927651458e-05
58,9.999999999999997e-06
59,4.671275860635811e-05
60,6.359667772960158e-05
61,5.521289703970058e-05
62,1.0017889398641168e-05
63,3.204827608345218e-05
64,0.00010326454922547713
65,0.0003451051053635977
66,2.145708482742394e-05
67,1.0039438932493982e-05
68,4.9113613246357736e-05
69,3.14292831065957e-05
70,9.999999999999997e-06
71,9.999999999999997e-06
72,0.000749164983672702
73,8.605011592536661e-05
74,0.0009090593269781884
75,0.0006166872587362221
76,1.1091390133488192e-05
77,0.024609703244365736
78,7.766643416593935e-05
79,9.999999999999997e-06
80,5.082090078788699e-05
81,0.00021923922789621235
82,0.031239657672222174
83,0.015894747943884714
84,0.02219627637723026
85,0.02737169724462089
86,0.03140105449826802
87,0.04942837974139006
88,0.03613492633627433
89,0.02805858120195321
90,0.04137620800955483
91,0.00035813317938342295
92,1.9431877149982955e-05
93,9.999999999999997e-06
94,9.999999999999997e-06
95,1.1475603416837977e-05
96,1.1329298616369255e-05
97,3.0395336225306626e-05
98,0.00013518159351497838
99,0.0002603669109239292
100,2.10517386384815e-05
101,0.00014903636836556316
102,1.0721456727416969e-05
103,9.999999999999997e-06
104,3.071486653866666e-05
105,0.00028581113166939454
106,5.3871589977213296e-05
107,5.916297003509882e-05
108,9.999999999999997e-06
109,0.00025840963399693663
110,0.0002838742925323101
111,0.0001541658260159279
112,2.6333640776802926e-05
113,0.0002954782593741688
114,0.00023994023080131595
115,9.999999999999997e-06
116,1.3293561896000756e-05
117,1.3283745715434222e-05
118,0.00021665916722775507
119,2.5909529926530726e-05
120,3.691992443186254e-05
121,0.0005353678656086041
122,9.999999999999997e-06
123,0.00010363829036389122
124,9.999999999999997e-06
125,9.999999999999997e-06
126,5.076183333685243e-05
127,2.7857044453922637e-05
128,9.999999999999997e-06
129,9.999999999999997e-06
130,0.00016481522179429654
131,2.3927212262877515e-05
132,4.09400333603846e-05
133,1.369402857954881e-05
134,0.0002539199630016432
135,4.9833890132803304e-05
136,9.999999999999997e-06
137,4.7575410350294066e-05
138,1.8977185392426913e-05
139,9.999999999999997e-06
140,0.00024547933783642127
141,3.844727056409087e-05
142,3.498552255505125e-05
143,0.0002678707098958724
144,9.999999999999997e-06
145,1.093112799341768e-05
146,5.5376167201203274e-05
147,0.0004090110019963805
148,4.3977739225991085e-05
149,0.0004062287480429824
150,2.9607798368407208e-05
151,2.0737173627215197e-05
152,1.2340936774724258e-05
153,1.8336363247281702e-05
154,2.530437930935924e-05
155,5.372902145326699e-05
156,0.00011485179132535273
157,0.00022739281933271846
158,0.00011659408716186281
159,0.0001591808857815392
160,9.999999999999997e-06
161,1.9672005128966886e-05
162,0.00028300008482154046
163,4.760814064697636e-05
164,1.2270864840491233e-05
165,1.5721524504951157e-05
166,0.0002191273905861891
167,0.0003414238205950735
168,0.00027719633988243617
169,5.8552090158335954e-05
170,0.000284893749184157
