,0
0,7.124765274645935e-05
1,3.969522701792906e-05
2,9.999999999999997e-06
3,9.999999999999997e-06
4,7.036132365318144e-05
5,7.792653898079169e-05
6,9.999999999999997e-06
7,6.355977832215982e-05
8,3.422141970304685e-05
9,8.079436353725245e-05
10,8.577613381223899e-05
11,9.999999999999997e-06
12,2.1941590119640564e-05
13,2.3775410511744364e-05
14,0.00010526699236177251
15,8.198123046086395e-05
16,9.999999999999997e-06
17,9.999999999999997e-06
18,1.7795213071255563e-05
19,1.7992395492910732e-05
20,6.086203192632681e-05
21,8.04064718691559e-05
22,2.0744159606270298e-05
23,9.999999999999997e-06
24,9.999999999999997e-06
25,9.999999999999997e-06
26,2.6345768102909875e-05
27,9.999999999999997e-06
28,2.0407886760768225e-05
29,8.080463645377732e-05
30,1.6715706464607102e-05
31,7.75212956151553e-05
32,7.268359391083412e-05
33,9.999999999999997e-06
34,7.354138353523593e-05
35,1.4135807967191263e-05
36,3.992843689714145e-05
37,8.929261044538486e-05
38,7.18513346253623e-05
39,9.113173444713903e-05
40,7.14074171027099e-05
41,1.1936242743016235e-05
42,9.999999999999997e-06
43,1.9186533243804648e-05
44,9.999999999999997e-06
45,4.158528259028192e-05
46,1.2964965936645087e-05
47,7.660668969872523e-05
48,9.999999999999997e-06
49,1.0168310628453542e-05
50,6.279814062415454e-05
51,4.884764222513352e-05
52,4.704058622278779e-05
53,9.999999999999997e-06
54,2.0626785118723153e-05
55,7.468062842712255e-05
56,9.999999999999997e-06
57,1.1826763309059492e-05
58,2.82914681931846e-05
59,9.999999999999997e-06
60,9.999999999999997e-06
61,9.46664950282454e-05
62,1.0423991452477774e-05
63,4.452595180066486e-05
64,1.814322988880184e-05
65,2.2079480157549547e-05
66,4.176606507259461e-05
67,7.400277299153694e-05
68,1.8110715559965154e-05
69,5.794932293443464e-05
70,7.644483314721904e-05
71,2.5167191066546405e-05
72,5.6587962472940545e-05
73,9.584913596982962e-05
74,1.022631081541767e-05
75,8.684204225934592e-05
76,9.999999999999997e-06
77,9.999999999999997e-06
78,9.999999999999997e-06
79,7.80007573079858e-05
80,1.5116557237972996e-05
81,2.586053732673076e-05
82,9.999999999999997e-06
83,9.999999999999997e-06
84,9.999999999999997e-06
85,9.999999999999997e-06
86,9.999999999999997e-06
87,1.2688085354855467e-05
88,9.523522669191263e-05
89,9.023142784154687e-05
90,1.3841720823615669e-05
91,9.999999999999997e-06
92,1.6611006300895482e-05
93,9.999999999999997e-06
94,2.8143875835905152e-05
95,1.3389061830603963e-05
96,7.845239624432906e-05
97,1.2633676222689283e-05
98,7.536726155471723e-05
99,2.019169217553684e-05
100,3.524180970128572e-05
101,9.999999999999997e-06
102,9.999999999999997e-06
103,6.009158314625774e-05
104,9.999999999999997e-06
105,7.536907634900316e-05
106,7.683978813774544e-05
107,3.487464187999149e-05
108,7.774040748453834e-05
109,2.1155402316159018e-05
110,2.830357886647705e-05
111,9.999999999999997e-06
112,2.1277490562192007e-05
113,9.999999999999997e-06
114,1.4427052775222785e-05
115,1.96249650688466e-05
116,9.999999999999997e-06
117,8.052177127425473e-05
118,9.999999999999997e-06
119,1.016734384908938e-05
120,2.31741800914742e-05
121,8.99256841290128e-05
122,1.0226656656091492e-05
123,1.2095275557229873e-05
124,9.999999999999997e-06
125,8.344705813874339e-05
126,6.205353465953321e-05
127,8.297935706932127e-05
128,1.9531585935648603e-05
129,1.4102493442094744e-05
130,3.273551162700174e-05
131,2.0107861107851385e-05
132,6.0998095017865234e-05
133,9.999999999999997e-06
134,9.999999999999997e-06
135,8.425434986080092e-05
136,6.32930013786869e-05
137,1.2710022992634232e-05
138,1.1606551704994845e-05
139,8.486653773928883e-05
140,7.386155555061346e-05
141,9.999999999999997e-06
